City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kavaratti,10.5669,72.642,84.22,71,0,8.32,IN,1619375543
bathsheba,13.2167,-59.5167,86.0,48,20,19.57,BB,1619375756
labuhan,-6.8844,112.2051,77.63,85,84,7.63,ID,1619375756
santiago del estero,-27.7951,-64.2615,74.89,37,0,6.35,AR,1619375674
berlevag,70.8578,29.0864,32.0,64,20,8.05,NO,1619375757
praxedis guerrero,31.3667,-106.0167,86.0,9,20,17.27,MX,1619375757
nemuro,43.3236,145.575,32.07,66,11,18.48,JP,1619375757
puerto leguizamo,-0.1934,-74.7819,90.34,52,53,2.84,CO,1619375758
songea,-10.6833,35.65,69.8,88,75,5.75,TZ,1619375758
buckeye,33.3703,-112.5838,91.0,13,7,5.75,US,1619375758
two hills,53.7169,-111.7518,42.8,24,40,9.22,CA,1619375759
mazyr,52.0495,29.2456,34.57,64,1,4.92,BY,1619375759
ratlam,23.3167,75.0667,87.08,9,99,4.36,IN,1619375759
la asuncion,11.0333,-63.8628,87.8,55,9,23.02,VE,1619375507
nigde,37.8333,34.75,56.34,53,23,4.92,TR,1619375760
kupang,-10.1667,123.5833,74.03,74,60,8.08,ID,1619375760
oistins,13.0667,-59.5333,86.0,48,20,19.57,BB,1619375761
puro,12.4841,123.3827,78.39,81,47,9.26,PH,1619375761
westport,41.1415,-73.3579,55.99,71,90,10.36,US,1619375761
avera,33.194,-82.5271,73.99,53,40,9.22,US,1619375762
aksu,41.1231,80.2644,59.09,27,46,7.56,CN,1619375762
leningradskiy,69.3833,178.4167,18.07,89,100,2.37,RU,1619375763
el tigre,8.8875,-64.2454,95.13,28,92,11.61,VE,1619375763
talladega,33.4359,-86.1058,69.8,49,40,6.91,US,1619375755
nouakchott,18.0858,-15.9785,73.4,64,0,21.85,MR,1619375768
ribas do rio pardo,-20.4431,-53.7592,88.03,29,100,6.08,BR,1619375769
west springfield,42.107,-72.6204,55.4,71,90,8.05,US,1619375769
mongar,27.2747,91.2396,55.76,64,0,5.61,BT,1619375770
cedar city,37.6775,-113.0619,66.2,15,1,33.38,US,1619375770
bom despacho,-19.7364,-45.2522,82.99,29,100,4.83,BR,1619375770
tres arroyos,-38.3739,-60.2798,61.5,69,100,5.23,AR,1619375662
cairns,-16.9167,145.7667,75.2,94,75,11.5,AU,1619375543
baherden,38.4362,57.4316,78.28,22,0,3.56,TM,1619375771
severo-zadonsk,54.0348,38.4017,35.19,72,8,8.97,RU,1619375771
manakara,-22.1333,48.0167,71.44,91,15,2.35,MG,1619375771
general roca,-39.0333,-67.5833,68.0,45,0,11.5,AR,1619375772
mehamn,71.0357,27.8492,33.8,64,20,8.05,NO,1619375772
omsukchan,62.5333,155.8,6.48,95,100,2.19,RU,1619375773
inhambane,-23.865,35.3833,77.0,78,40,1.92,MZ,1619375773
ustrzyki dolne,49.4304,22.5938,35.01,100,97,14.0,PL,1619375773
nizwa,22.9333,57.5333,83.55,18,89,4.21,OM,1619375774
ancud,-41.8697,-73.8203,63.0,94,75,3.44,CL,1619375774
omboue,-1.5746,9.2618,79.81,83,0,5.5,GA,1619375742
lensk,60.7253,114.9278,34.56,97,100,9.98,RU,1619375774
nhulunbuy,-12.2333,136.7667,77.0,94,40,5.75,AU,1619375775
vestmannaeyjar,63.4427,-20.2734,44.6,87,40,14.97,IS,1619375714
padang,-0.9492,100.3543,77.77,85,96,3.18,ID,1619375775
muyuka,4.2898,9.4103,84.2,79,20,4.61,CM,1619375776
fort saint james,54.4333,-124.25,47.86,27,0,6.08,CA,1619375776
waipawa,-41.4122,175.5153,53.6,71,75,9.22,NZ,1619375710
college,64.8569,-147.8028,48.99,42,1,3.44,US,1619375776
ahipara,-35.1667,173.1667,57.72,81,49,7.05,NZ,1619375538
mildura,-34.2,142.15,48.2,87,0,4.61,AU,1619375777
kubachi,42.086,47.6034,46.74,64,100,5.06,RU,1619375777
khargapur,24.823,79.144,83.57,9,100,3.53,IN,1619375778
landerneau,48.4525,-4.2525,55.4,66,0,19.57,FR,1619375778
tongzi,28.7829,105.0877,57.58,93,100,4.61,CN,1619375778
vostok,46.4856,135.8833,22.75,61,9,4.88,RU,1619375582
sarakhs,36.5449,61.1577,80.6,19,91,4.61,IR,1619375779
lerwick,60.1545,-1.1494,44.6,87,0,9.22,GB,1619375779
winnemucca,40.973,-117.7357,41.0,87,90,5.75,US,1619375780
tonantins,-2.8731,-67.8022,81.34,90,100,1.88,BR,1619375780
tukrah,32.5341,20.5791,60.62,91,9,7.94,LY,1619375780
urumqi,43.801,87.6005,42.8,33,73,2.24,CN,1619375781
lasa,46.6166,10.7002,69.8,43,0,1.14,IT,1619375781
usinsk,65.9939,57.5281,39.81,86,100,9.04,RU,1619375781
kijang,35.2442,129.2139,48.2,71,0,6.91,KR,1619375782
pereslavl-zalesskiy,56.7393,38.8563,34.39,79,100,13.96,RU,1619375782
galle,6.0367,80.217,79.63,82,15,2.42,LK,1619375782
jabinyanah,35.035,10.9081,64.4,72,20,9.22,TN,1619375783
codrington,-38.2667,141.9667,53.22,85,100,5.08,AU,1619375577
makakilo city,21.3469,-158.0858,77.0,65,1,5.75,US,1619375788
bonavista,48.6499,-53.1147,51.8,43,66,10.36,CA,1619375789
xuddur,4.1213,43.8894,80.2,58,100,9.57,SO,1619375789
kyzyl-suu,42.3414,78.0056,47.32,45,100,7.81,KG,1619375790
obihiro,42.9172,143.2044,28.9,80,100,1.92,JP,1619375790
susanville,40.4163,-120.653,48.2,31,90,8.05,US,1619375790
ayia marina,37.75,23.5333,57.99,46,0,1.99,GR,1619375791
kentau,43.5206,68.5094,58.37,32,12,12.26,KZ,1619375791
byron bay,-28.65,153.6167,60.8,94,90,9.22,AU,1619375791
grindavik,63.8424,-22.4338,48.2,76,40,12.66,IS,1619375792
salekhard,66.53,66.6019,33.35,97,100,7.2,RU,1619375792
inuvik,68.3499,-133.7218,19.4,73,100,8.05,CA,1619375792
zhangye,38.9342,100.4517,43.74,17,81,10.89,CN,1619375793
dawei,14.0833,98.2,76.89,89,100,0.76,MM,1619375793
salym,60.0625,71.4789,41.54,76,100,7.87,RU,1619375793
taraclia,45.9,28.6689,48.09,55,100,14.36,MD,1619375794
coos bay,43.3665,-124.2179,50.0,81,90,12.66,US,1619375794
eugene,44.0521,-123.0867,53.6,66,75,5.75,US,1619375771
roma,43.2128,-75.4557,55.99,58,90,12.66,US,1619375795
eregli,37.5133,34.0467,65.21,42,99,1.21,TR,1619375795
bambanglipuro,-7.95,110.2833,75.63,85,75,4.34,ID,1619375795
kropotkin,45.4375,40.5756,48.0,82,100,11.52,RU,1619375796
hays,30.0502,-98.0336,84.0,51,0,5.01,US,1619375796
palmas bellas,9.2319,-80.0867,93.2,52,20,6.91,PA,1619375796
upington,-28.4478,21.2561,71.6,23,0,5.75,ZA,1619375797
iwanai,42.9744,140.5089,31.21,74,39,4.32,JP,1619375797
jutai,-5.1833,-68.9,77.85,85,100,3.8,BR,1619375797
huarmey,-10.0681,-78.1522,72.95,73,11,10.45,PE,1619375798
bundibugyo,0.7414,30.0417,67.71,98,100,2.71,UG,1619375798
nicoya,10.1483,-85.452,93.2,38,20,16.11,CR,1619375799
mlonggo,-6.5333,110.7,77.18,85,29,6.31,ID,1619375799
cavalcante,-13.7975,-47.4583,77.34,72,87,0.34,BR,1619375799
deputatskiy,69.3,139.9,16.18,93,100,5.37,RU,1619375800
bushehr,28.9684,50.8385,80.6,47,10,9.22,IR,1619375800
kirn,49.7833,7.45,55.4,46,0,11.5,DE,1619375800
starobaltachevo,56.0013,55.9213,39.97,77,100,14.27,RU,1619375801
uribia,11.7139,-72.266,93.54,39,20,19.8,CO,1619375801
rocha,-34.4833,-54.3333,63.9,76,74,15.75,UY,1619375801
kunya,12.2233,8.5325,93.2,27,20,5.75,NG,1619375802
vizinga,61.0749,50.1031,37.06,96,100,8.48,RU,1619375802
maneadero,31.7167,-116.5667,66.0,73,1,4.0,MX,1619375803
guardiagrele,42.1954,14.2198,59.0,55,7,4.61,IT,1619375803
corner brook,48.9667,-57.9484,53.6,37,40,11.5,CA,1619375699
purpe,64.4803,76.6897,26.01,89,100,10.29,RU,1619375804
balboa,2.0396,-77.2168,74.66,69,22,2.3,CO,1619375809
ambikapur,23.1167,83.2,73.92,14,19,3.06,IN,1619375809
bombay,19.0144,72.8479,86.0,84,40,8.05,IN,1619375610
nova vicosa,-17.8919,-39.3719,81.25,71,18,12.06,BR,1619375810
soverato,38.685,16.5499,57.2,94,100,8.05,IT,1619375810
pochutla,15.7432,-96.4661,91.99,58,75,11.5,MX,1619375810
gwanda,-20.9333,29.0,66.2,26,0,3.91,ZW,1619375811
kurilsk,45.2333,147.8833,29.08,78,72,13.11,RU,1619375811
yushan,31.3776,120.9543,64.0,67,0,2.24,CN,1619375811
vanimo,-2.6741,141.3028,75.27,84,100,3.4,PG,1619375812
grass valley,39.2191,-121.0611,53.01,43,75,6.91,US,1619375812
tansen,27.8673,83.5467,63.18,18,0,5.97,NP,1619375812
jiuquan,39.7432,98.5174,42.91,17,100,12.62,CN,1619375813
alyangula,-13.8483,136.4192,77.0,100,90,9.91,AU,1619375628
bilibino,68.0546,166.4372,17.04,94,99,1.88,RU,1619375813
lompoc,34.6391,-120.4579,59.0,63,100,8.05,US,1619375588
qrendi,35.8347,14.4583,62.01,72,0,8.05,MT,1619375814
miri,4.4148,114.0089,75.2,100,20,2.3,MY,1619375814
ofunato,39.0717,141.7167,38.14,67,7,10.38,JP,1619375815
denpasar,-8.65,115.2167,80.6,89,40,5.75,ID,1619375815
monrovia,6.3005,-10.7969,84.2,79,40,5.75,LR,1619375815
chkalovskoye,44.8392,133.0436,33.93,44,0,5.93,RU,1619375816
natal,-5.795,-35.2094,86.0,66,20,14.97,BR,1619375816
goderich,43.7501,-81.7165,37.4,70,100,20.71,CA,1619375801
devils lake,48.1128,-98.8651,37.4,87,90,18.41,US,1619375575
gander,48.9682,-54.5906,53.6,40,75,13.8,CA,1619375817
tynda,55.1667,124.7167,30.7,92,100,4.18,RU,1619375817
lisala,2.15,21.5167,70.48,92,97,2.84,CD,1619375817
skerries,53.5828,-6.1083,50.0,71,40,11.5,IE,1619375818
shilong,23.1123,113.8425,77.0,83,90,11.18,CN,1619375818
chernyshevskiy,63.0128,112.4714,26.49,99,100,2.71,RU,1619375819
manono,-7.3,27.4167,70.27,95,100,2.04,CD,1619375819
ust-barguzin,53.45,108.9833,33.15,96,100,5.1,RU,1619375819
yar-sale,66.8333,70.8333,32.83,94,100,11.59,RU,1619375820
waddan,29.1614,16.139,69.71,40,2,10.76,LY,1619375810
juneau,58.3019,-134.4197,52.0,46,20,10.36,US,1619375528
east millcreek,40.7,-111.8105,59.0,62,75,8.05,US,1619375820
villa bruzual,9.3328,-69.1208,97.88,29,99,2.89,VE,1619375821
yacopi,5.4595,-74.3382,73.99,74,99,2.51,CO,1619375821
plettenberg bay,-34.0527,23.3716,66.81,70,100,4.0,ZA,1619375821
belmonte,-15.8631,-38.8828,82.4,69,20,14.97,BR,1619375768
qianan,44.9932,124.0581,48.0,31,100,7.58,CN,1619375822
fazendas de almeirim,39.1755,-8.5693,64.0,75,85,4.12,PT,1619375822
udachnyy,66.4167,112.4,8.2,91,100,23.2,RU,1619375823
slave lake,55.2834,-114.769,41.0,42,1,12.66,CA,1619375823
mamburao,13.25,120.6667,74.23,78,16,5.37,PH,1619375829
shahreza,32.0339,51.8794,66.47,37,100,5.21,IR,1619375829
novo aripuana,-5.1206,-60.3797,83.98,80,97,2.46,BR,1619375830
solhan,38.9634,41.0293,57.85,62,77,7.29,TR,1619375830
ndende,-2.4008,11.3581,75.83,93,100,1.32,GA,1619375831
hurghada,27.2574,33.8129,80.6,39,0,4.61,EG,1619375664
turhal,40.3875,36.0811,48.2,71,75,11.5,TR,1619375831
muros,42.7762,-9.0603,63.0,79,72,4.09,ES,1619375831
